0.68014,0.38528,0.27157
0.05271,0.5867 ,0.03188
0.00609,0.22683,0.16824
0.53024,0.53714,0.15114
0.74808,0.52779,0.03553
0.40758,0.44839,0.35441
0.5775 ,0.17638,0.6021 
0.1338 ,0.17155,0.40046
0.16314,0.12941,0.41767
0.43626,0.50931,0.2804 
0.57698,0.34777,0.52405
0.10102,0.52027,0.08906
0.56307,0.61494,0.48651
0.47426,0.34183,0.40074
0.05557,0.93543,0.24746
0.33463,0.31956,0.24388
0.24371,0.66038,0.0955 
0.37737,0.77441,0.34017
0.06395,0.79497,0.02644
0.16715,0.26155,0.34405
0.23541,0.58578,0.20296
0.20547,0.91698,0.57869
0.3295 ,0.50521,0.23028
0.47321,0.6121 ,0.48691
0.60216,0.52515,0.15975
0.48099,0.36211,0.33515
0.26266,0.56913,0.11146
0.68521,0.37369,0.65793
0.0315 ,0.65347,0.01412
0.53986,0.39343,0.50867
0.61517,0.51138,0.14901
0.18251,0.37611,0.35668
0.263  ,0.53609,0.17127
0.55585,0.31723,0.53647
0.40221,0.55735,0.31181
0.0424 ,0.74599,0.02409
0.27035,0.19698,0.50005
0.11723,0.75096,0.02838
0.63211,0.58104,0.50096
0.17909,0.68785,0.08539
0.56726,0.60525,0.42361
0.29122,0.70714,0.39172
0.47143,0.30184,0.27055
0.31986,0.4694 ,0.22788
0.67764,0.29739,0.43818
0.06547,0.6366 ,0.03008
0.20573,0.12269,0.52708
0.3503 ,0.52421,0.41897
0.42826,0.27167,0.61659
0.27036,0.4066 ,0.17318
0.57466,0.4377 ,0.36044
0.3622 ,0.50138,0.45591
0.17919,0.30192,0.14668
0.44102,0.50511,0.21656
0.50445,0.50159,0.61853
0.35162,0.72121,0.72949
0.50368,0.31861,0.48631
0.18525,0.42674,0.31075
0.1838 ,0.75598,0.10499
0.15912,0.4873 ,0.16369
0.2039 ,0.68084,0.13253
0.75543,0.48897,0.15872
0.05968,0.78452,0.02318
0.58138,0.44029,0.35043
0.26906,0.7223 ,0.03506
0.3042 ,0.90128,0.50619
0.04983,0.66069,0.04912
0.41344,0.3542 ,0.18817
0.20374,0.78268,0.40584
0.10902,0.28673,0.19646
0.29712,0.50218,0.18691
0.50797,0.25721,0.36997
0.64013,0.38661,0.61277
0.33864,0.29124,0.36314
